                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92346,                 1.7703,                 1.8006,                0.77567,                0.71793,                0.71454,                0.28551,                 1.9728,                 1.9951,                 3.7726,             0.00066231,             0.00066231,             0.00066231
                      2,                0.98842,                 1.0234,                 1.8868,                0.80005,                0.75847,                0.77221,                0.35186,                 1.8376,                 1.4611,                 2.8514,              0.0011974,              0.0011974,              0.0011974
                      3,                0.99363,                0.76198,                 1.9013,                 0.6273,                0.72746,                0.71064,                0.31612,                 1.7609,                 1.5658,                 2.6526,              0.0016005,              0.0016005,              0.0016005
                      4,                0.98248,                0.65724,                 1.8681,                0.83833,                0.81295,                0.81757,                0.37608,                 1.9441,                0.95751,                 3.0817,               0.001406,               0.001406,               0.001406
                      5,                0.92293,                0.60274,                 1.8015,                0.86391,                0.82627,                0.86556,                0.44245,                 1.6994,                0.97021,                  2.451,               0.001208,               0.001208,               0.001208
                      6,                0.87002,                 0.5729,                 1.7402,                0.78881,                0.83051,                0.87271,                0.46096,                 1.5719,                 1.0543,                 2.3376,                0.00101,                0.00101,                0.00101
                      7,                0.83382,                0.54082,                 1.6908,                0.76395,                0.82203,                0.84884,                0.41386,                 1.7568,                 1.0742,                  2.461,               0.000812,               0.000812,               0.000812
                      8,                0.77468,                0.48734,                 1.6369,                0.89027,                0.85593,                0.89068,                0.45074,                 1.7395,                0.91089,                 2.6058,               0.000614,               0.000614,               0.000614
                      9,                0.74862,                  0.467,                 1.5917,                0.87275,                0.90254,                0.88669,                0.47378,                 1.6216,                0.84938,                 2.4634,               0.000416,               0.000416,               0.000416
                     10,                 0.6987,                0.45168,                 1.5464,                0.89429,                0.93199,                0.92494,                0.53884,                 1.4748,                0.79044,                 2.2085,               0.000218,               0.000218,               0.000218
