                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1888,                 3.4337,                  1.702,                0.00359,                      1,                 0.2167,                0.11221,                 0.7237,                 2.9399,                 1.3567,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.2692,                 3.5718,                 1.8012,                0.00359,                      1,                0.22491,                0.11537,                0.75239,                 2.9688,                 1.3647,               9.01e-05,               9.01e-05,               9.01e-05
                      3,                 1.2776,                 3.5413,                 1.7915,                0.00359,                      1,                0.47308,                 0.2899,                0.82283,                 3.0752,                 1.5418,             0.00012832,             0.00012832,             0.00012832
                      4,                 0.9854,                 3.0765,                  1.682,                0.00359,                      1,                0.24511,                0.12433,                 1.5242,                 3.4344,                 2.3123,             0.00015466,             0.00015466,             0.00015466
                      5,                0.81321,                   2.56,                 1.5636,                0.00359,                      1,                 0.3301,                0.12694,                 1.5401,                 3.3241,                 2.2881,             0.00016912,             0.00016912,             0.00016912
                      6,                0.95417,                 2.6369,                 1.6252,                0.00359,                      1,                 0.3658,                0.17875,                 1.3264,                 3.2588,                 2.0841,              0.0001717,              0.0001717,              0.0001717
                      7,                0.86757,                 2.2945,                 1.6191,                0.00359,                      1,                0.32732,                0.13421,                 1.2945,                 3.1523,                  1.978,              0.0001624,              0.0001624,              0.0001624
                      8,                0.80812,                 2.3958,                 1.4915,                0.00359,                      1,                0.32326,                0.12578,                 1.3123,                 3.2139,                 1.9869,             0.00014122,             0.00014122,             0.00014122
                      9,                0.81681,                 2.2074,                 1.5052,                0.00359,                      1,                0.33389,                0.16385,                 1.3877,                 3.2351,                 1.9938,             0.00010816,             0.00010816,             0.00010816
                     10,                0.77252,                 2.1767,                 1.4463,                0.00359,                      1,                0.38663,                0.18096,                 1.3583,                  3.147,                 1.9674,              6.322e-05,              6.322e-05,              6.322e-05
