                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80126,                 3.0796,                  1.123,                0.99619,                0.52133,                0.93492,                0.79756,                0.57236,                 2.2308,                0.90393,             0.00036455,             0.00036455,             0.00036455
                      2,                0.66527,                 1.7207,                0.96485,                 0.7288,                0.70735,                0.83833,                0.68095,                0.67997,                 1.3851,                0.97461,             0.00066213,             0.00066213,             0.00066213
                      3,                0.63915,                 1.3893,                0.93513,                 0.9304,                0.59925,                0.88236,                0.73921,                0.66566,                 1.2587,                0.96884,             0.00088638,             0.00088638,             0.00088638
                      4,                0.61623,                 1.1454,                0.93271,                0.97379,                0.97962,                 0.9909,                0.86212,                0.58633,                0.57167,                0.90071,             0.00078103,             0.00078103,             0.00078103
                      5,                0.57193,                0.96148,                0.90861,                0.97312,                 0.9357,                0.98462,                0.87419,                0.51933,                0.56499,                 0.8859,             0.00067104,             0.00067104,             0.00067104
                      6,                0.55196,                0.82847,                 0.9064,                0.99731,                0.98391,                0.99313,                0.88505,                0.50231,                0.44007,                0.86956,             0.00056105,             0.00056105,             0.00056105
                      7,                0.51785,                0.72041,                0.88712,                0.98922,                0.99039,                0.99462,                0.88382,                0.47697,                0.37149,                0.86387,             0.00045107,             0.00045107,             0.00045107
                      8,                0.49678,                0.65139,                0.87774,                0.99755,                0.98515,                0.99474,                0.90879,                0.43583,                0.33288,                0.85263,             0.00034108,             0.00034108,             0.00034108
                      9,                0.44912,                0.58487,                0.86118,                0.99402,                0.98469,                0.99439,                0.91668,                0.41623,                0.32803,                0.84327,             0.00023109,             0.00023109,             0.00023109
                     10,                0.42459,                0.54623,                0.84962,                0.99447,                0.98595,                0.99456,                0.92751,                0.38707,                0.30061,                0.83476,              0.0001211,              0.0001211,              0.0001211
