                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90281,                 3.3766,                 1.1414,                0.00333,                      1,                0.52935,                0.42673,                0.56382,                 2.9493,                0.88442,                0.00016,                0.00016,                0.00016
                      2,                 0.7054,                 2.5538,                  1.054,                0.00333,                      1,                0.94383,                0.76477,                0.57318,                 2.7439,                0.88009,             0.00030634,             0.00030634,             0.00030634
                      3,                0.56954,                 1.9538,                 0.9872,                      1,                0.59358,                0.95226,                0.80129,                0.53131,                 2.7185,                0.86179,             0.00041704,             0.00041704,             0.00041704
                      4,                0.54125,                 1.6666,                0.95143,                      1,                0.51984,                0.97857,                0.81726,                0.56507,                 2.5087,                0.94467,              0.0004921,              0.0004921,              0.0004921
                      5,                0.49294,                 1.4852,                0.91053,                      1,                0.47475,                  0.995,                0.84679,                0.58315,                 2.7203,                0.90046,             0.00053152,             0.00053152,             0.00053152
                      6,                0.51999,                 1.4345,                 0.9399,                      1,                0.43921,                0.91381,                0.76805,                0.67614,                 2.6352,                0.97978,              0.0005353,              0.0005353,              0.0005353
                      7,                0.50413,                 1.3443,                0.93781,                      1,                 0.8185,                0.97556,                0.85577,                0.58695,                 2.3658,                0.91459,             0.00050344,             0.00050344,             0.00050344
                      8,                0.48985,                 1.3273,                0.92285,                0.99869,                      1,                  0.995,                0.88375,                0.52341,                 2.1403,                0.88492,             0.00043594,             0.00043594,             0.00043594
                      9,                 0.4235,                 1.1796,                0.91789,                0.97787,                      1,                  0.995,                0.90265,                0.45463,                 1.7492,                0.84986,              0.0003328,              0.0003328,              0.0003328
                     10,                0.40157,                 1.1403,                  0.909,                0.98606,                      1,                  0.995,                0.90343,                0.44013,                 1.5382,                0.82238,             0.00019402,             0.00019402,             0.00019402
